,amount,symbol,cash,date,signer,receiver,asset
2055,177.856445,USDC,USDC,2022-02-14T21:59:10Z,9hAVBh9QuvruZtXhMV8BFLmmUTfr7JD3xbcdocM1SJda,9hAVBh9QuvruZtXhMV8BFLmmUTfr7JD3xbcdocM1SJda,SOL
2056,2342.993616,USDC,USDC,2022-02-15T00:48:00Z,HJwXhP2AzFLkvTRBXxTRZLGCZ4XBQy8j9zmb6odQZvSa,HJwXhP2AzFLkvTRBXxTRZLGCZ4XBQy8j9zmb6odQZvSa,SOL
2057,46.311773,USDC,USDC,2022-02-15T02:30:30Z,2trQYCS33UHCqzYLi47TszFyDs5rydFvEhoFCkoFmxeJ,2trQYCS33UHCqzYLi47TszFyDs5rydFvEhoFCkoFmxeJ,SOL
2058,201378.547787,USDC,USDC,2022-02-15T05:34:12Z,Df4xj2BkxsjUmqQq4NjRCwVhY3aXPZZmmSiB3siw3BL9,Df4xj2BkxsjUmqQq4NjRCwVhY3aXPZZmmSiB3siw3BL9,SOL
2059,13780.885348,USDC,USDC,2022-02-15T10:48:36Z,BzYhx2B6FF9fzr9gkDm2pawcfUHeQP1PeMWjB7mtVB9P,BzYhx2B6FF9fzr9gkDm2pawcfUHeQP1PeMWjB7mtVB9P,SOL
2060,7363.236467,USDC,USDC,2022-02-15T13:35:02Z,4DPH38qEHiqNvxQAEtrAKaGthKWZ5hwbrMqMD7LM8Ao5,4DPH38qEHiqNvxQAEtrAKaGthKWZ5hwbrMqMD7LM8Ao5,SOL
2061,6765.13706,USDC,USDC,2022-02-15T20:23:55Z,GT89zXM86sbfmn1J1WUoWzFcZ2Ct342CpxL4MzsPDJN6,GT89zXM86sbfmn1J1WUoWzFcZ2Ct342CpxL4MzsPDJN6,SOL
2062,19848.022083,USDC,USDC,2022-02-15T20:38:59Z,B3f5r3XtsUiyiUS6J79kMzYpg4KHnGcxnee4sAhnEPQr,B3f5r3XtsUiyiUS6J79kMzYpg4KHnGcxnee4sAhnEPQr,MNGO
2063,409.470186,USDC,USDC,2022-02-15T23:01:15Z,EJiKr4xgyAjrCAohTM2M6caspRdbTq8LT9zQ7Ajg3k3z,EJiKr4xgyAjrCAohTM2M6caspRdbTq8LT9zQ7Ajg3k3z,MNGO
2064,123.870264,USDC,USDC,2022-02-16T06:34:23Z,J9zW1BogAUG72bMraNbGKzELyjyifUoiFrS2R6YizdDs,J9zW1BogAUG72bMraNbGKzELyjyifUoiFrS2R6YizdDs,MNGO
2065,446.164983,USDC,USDC,2022-02-16T06:39:26Z,AaH89fdgug31XSpRGFfPRjcQUB93uzDZvwgcQHLaYA5P,AaH89fdgug31XSpRGFfPRjcQUB93uzDZvwgcQHLaYA5P,SOL
2066,2000.0,USDC,USDC,2022-02-16T08:27:52Z,3WSe6vkoYaK3bXsHS3HQa8cqssAJzLLnvMgNNV6bRYAU,3WSe6vkoYaK3bXsHS3HQa8cqssAJzLLnvMgNNV6bRYAU,MNGO
2067,140.579617,USDC,USDC,2022-02-16T09:28:45Z,3iw4kmEPf37sx4jiVYDJQysp3qzLkh5aicrA38iMDMZ7,3iw4kmEPf37sx4jiVYDJQysp3qzLkh5aicrA38iMDMZ7,SOL
2068,203.476732,USDC,USDC,2022-02-16T09:29:12Z,3iw4kmEPf37sx4jiVYDJQysp3qzLkh5aicrA38iMDMZ7,3iw4kmEPf37sx4jiVYDJQysp3qzLkh5aicrA38iMDMZ7,BTC
2069,69.467661,USDC,USDC,2022-02-16T13:17:16Z,3RdSAuqNYV58RqGRvXDaDSkW2LfuWkE4CiNBnoVyvzsR,3RdSAuqNYV58RqGRvXDaDSkW2LfuWkE4CiNBnoVyvzsR,SOL
2070,4000.014259,USDC,USDC,2022-02-17T00:32:04Z,BuynJ78KD8hD1GuXcRJ2sHkVKf1nodK1z2tnzb4qyxBx,BuynJ78KD8hD1GuXcRJ2sHkVKf1nodK1z2tnzb4qyxBx,SOL
2071,92.985102,USDC,USDC,2022-02-17T02:46:06Z,HUyRe8siy7GwYY8yo78WAnuCqU75sqrfGWrEd3u4CVVL,HUyRe8siy7GwYY8yo78WAnuCqU75sqrfGWrEd3u4CVVL,SOL
2072,14057.961701,USDC,USDC,2022-02-17T07:52:51Z,6g8xEmAHkGTTdcwmLRywH3raGrDvYvuqNxLEdRYVncKb,6g8xEmAHkGTTdcwmLRywH3raGrDvYvuqNxLEdRYVncKb,SOL
2073,9371.974467,USDC,USDC,2022-02-17T07:54:38Z,7FkrEaFwgU6UrSUAtu4J46kyRgmaCY5dxTx7kP6Xv3ET,7FkrEaFwgU6UrSUAtu4J46kyRgmaCY5dxTx7kP6Xv3ET,SOL
2074,30.042595,USDC,USDC,2022-02-17T08:10:58Z,6G8WTfcbhByuuEfJXqQTw143XVAoPJHs8c18QUkYMKcS,6G8WTfcbhByuuEfJXqQTw143XVAoPJHs8c18QUkYMKcS,SOL
2075,200.0,USDC,USDC,2022-02-17T10:25:00Z,4t5P9Sh8vvWYB9r9GMPXsZedhE8CzMRX85AGc3BaLm6p,4t5P9Sh8vvWYB9r9GMPXsZedhE8CzMRX85AGc3BaLm6p,MNGO
2076,22.692296,USDC,USDC,2022-02-17T14:22:29Z,JAoRbiLpgTVkzhQCP6uXYTY4X1omRrYouFVoTMrVb9MC,JAoRbiLpgTVkzhQCP6uXYTY4X1omRrYouFVoTMrVb9MC,SOL
2077,104.249377,USDC,USDC,2022-02-17T14:36:09Z,AuBGKbQYRosc2rXTAjunHjxxE27n4fPX7fRHsjg2yQfk,AuBGKbQYRosc2rXTAjunHjxxE27n4fPX7fRHsjg2yQfk,MNGO
2078,329.078342,USDC,USDC,2022-02-17T15:13:08Z,G8hyt2CEtZpA5oeCvW1dN5W6xCSi7CPwjiQTSHfYgQhB,G8hyt2CEtZpA5oeCvW1dN5W6xCSi7CPwjiQTSHfYgQhB,MNGO
2079,702.578005,USDC,USDC,2022-02-18T05:48:53Z,7vBY52cDau61d8R7z8QRTsunnyQbUcWdQhmBv3FembUv,7vBY52cDau61d8R7z8QRTsunnyQbUcWdQhmBv3FembUv,MNGO
2080,5949.229335,USDC,USDC,2022-02-18T07:46:03Z,VVJbEnnXZN6uHoxjwv6HnKQ1er7BF7vRVaKsxfoyVtC,VVJbEnnXZN6uHoxjwv6HnKQ1er7BF7vRVaKsxfoyVtC,SOL
